ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769028544.3083265,859703.591961102,,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,,,,,1,,
1769028545.3096714,859704.593302995,1.001341892988421,/,250375106560,142818467840,94763749376,60.1,4096,155648,1,6,0.004090510972007603,0.15543941693628896,0.9986599052752939,5.991959431651764,8,,
1769028546.311051,859705.594682568,1.0013795730192214,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028547.3125005,859706.596146698,1.0014641300076619,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028548.3139865,859707.597619883,1.0014731850242242,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028549.31548,859708.599113257,1.001493374002166,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028550.3164852,859709.600116884,1.001003626966849,/,250375106560,142818467840,94763749376,60.1,0,16384,0,2,0.0,0.016367573062292813,0.0,1.9979947585806654,64,,
1769028551.3174324,859710.601063777,1.0009468930074945,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028552.3183928,859711.602024297,1.000960520002991,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028553.3197453,859712.603376956,1.0013526589609683,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769028554.321166,859713.604797948,1.0014209920773283,/,250375106560,142818467840,94763749376,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029107.7906842,860267.074318298,,/,250375106560,142818586624,94763630592,60.1,0,0,0,0,,,,,0,,
1769029108.7920067,860268.075638183,1.0013198850210756,/,250375106560,142818586624,94763630592,60.1,8192,24576,2,4,0.008181201754350036,0.02454360526305011,1.9973637095581143,3.9947274191162285,31,,
1769029109.7934337,860269.077066881,1.001428697956726,/,250375106560,142818586624,94763630592,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029110.7949548,860270.078586178,1.0015192970167845,/,250375106560,142818586624,94763630592,60.1,0,57344,0,10,0.0,0.057257009596130594,0.0,9.98483007745023,2,,
1769029111.7966528,860271.08028433,1.001698151929304,/,250375106560,142818586624,94763630592,60.1,0,143360,0,3,0.0,0.14311696564866758,0.0,2.9949141807059343,4,,
1769029112.7980542,860272.081685778,1.0014014480402693,/,250375106560,142818586624,94763630592,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029113.7995574,860273.08318896,1.00150318199303,/,250375106560,142818590720,94763626496,60.1,0,4096,0,1,0.0,0.00408985220780707,0.0,0.9984990741716481,31,,
1769029114.8004944,860274.084126407,1.0009374470682815,/,250375106560,142818590720,94763626496,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029115.8020525,860275.085686143,1.001559735974297,/,250375106560,142818590720,94763626496,60.1,0,0,0,0,0.0,0.0,0.0,0.0,1,,
1769029116.8331227,860276.116756238,1.0310700950212777,/,250375106560,142818590720,94763626496,60.1,0,65536,0,2,0.0,0.06356114905907301,0.0,1.9397323321250308,64,,
1769029302.0783312,860461.361965536,,/,250375106560,142818631680,94763585536,60.1,0,0,0,0,,,,,1,,
1769029303.079692,860462.363323252,1.001357715926133,/,250375106560,142818631680,94763585536,60.1,0,77824,0,18,0.0,0.07771848038143127,0.0,17.975594249405876,27,,
