ts_wall_s,ts_mono_s,dt_s,mem_total_bytes,mem_available_bytes,mem_used_bytes,mem_percent,buffers_bytes,cached_bytes,shared_bytes,swap_total_bytes,swap_used_bytes,swap_free_bytes,swap_percent,swap_sin_bytes_d,swap_sout_bytes_d,proc_rss_bytes_sum,proc_vms_bytes_sum,proc_uss_bytes_sum,proc_pss_bytes_sum
1769028544.3078244,859703.591457026,,16443322368,8216989696,8226332672,50.0,323887104,6528450560,1654104064,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028545.3090475,859704.592681534,1.0012245080433786,16443322368,8213147648,8230174720,50.1,323895296,6528495616,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028546.3094516,859705.593085184,1.0004036499885842,16443322368,8211861504,8231460864,50.1,323895296,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028547.3108838,859706.594517267,1.0014320829650387,16443322368,8211353600,8231968768,50.1,323895296,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028548.3122883,859707.595922193,1.0014049260644242,16443322368,8211095552,8232226816,50.1,323895296,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028549.313528,859708.59716021,1.0012380169937387,16443322368,8209547264,8233775104,50.1,323895296,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028550.3149326,859709.598566165,1.0014059549430385,16443322368,8208900096,8234422272,50.1,323903488,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028551.3163571,859710.599990434,1.0014242690522224,16443322368,8210542592,8232779776,50.1,323903488,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028552.3176646,859711.601296269,1.0013058349722996,16443322368,8184123392,8259198976,50.2,323903488,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028553.3190353,859712.602669142,1.0013728729682043,16443322368,8184131584,8259190784,50.2,323903488,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769028554.3204467,859713.604078852,1.0014097100356594,16443322368,8182870016,8260452352,50.2,323903488,6528499712,1654124544,2147479552,880279552,1267200000,41.0,0,0,,,,
1769029107.7902248,860267.07385781,,16443322368,8099078144,8344244224,50.7,325464064,6532284416,1654104064,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029108.7914286,860268.075062553,1.0012047430500388,16443322368,8095465472,8347856896,50.8,325464064,6532304896,1654124544,2147479552,880017408,1267462144,41.0,4096,0,,,,
1769029109.7924445,860269.076077995,1.0010154419578612,16443322368,8096333824,8346988544,50.8,325464064,6532313088,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029110.7939093,860270.077542912,1.0014649169752374,16443322368,8097337344,8345985024,50.8,325464064,6532313088,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029111.7952716,860271.078905243,1.0013623309787363,16443322368,8097935360,8345387008,50.8,325472256,6532313088,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029112.796424,860272.080055727,1.0011504840804264,16443322368,8098398208,8344924160,50.7,325472256,6532313088,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029113.7977989,860273.081432675,1.0013769479701295,16443322368,8095612928,8347709440,50.8,325472256,6532321280,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029114.7991085,860274.082740365,1.0013076899340376,16443322368,8095416320,8347906048,50.8,325472256,6532325376,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029115.8005,860275.084134121,1.001393756014295,16443322368,8094937088,8348385280,50.8,325472256,6532325376,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029116.8019462,860276.085580039,1.0014459179947153,16443322368,8182845440,8260476928,50.2,325480448,6532325376,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029117.8024058,860277.086037924,1.0004578850930557,16443322368,8182829056,8260493312,50.2,325480448,6532325376,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029302.077892,860461.361524901,,16443322368,8145375232,8297947136,50.5,326172672,6534590464,1654104064,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029303.0791285,860462.362762388,1.0012374869547784,16443322368,8144797696,8298524672,50.5,326172672,6534615040,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029304.0804303,860463.364064255,1.0013018670724705,16443322368,8143265792,8300056576,50.5,326172672,6534627328,1654124544,2147479552,880017408,1267462144,41.0,61440,0,,,,
1769029305.0819044,860464.365538255,1.001473999931477,16443322368,8147152896,8296169472,50.5,326180864,6534627328,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029306.0832982,860465.366932224,1.0013939690543339,16443322368,8147152896,8296169472,50.5,326180864,6534627328,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029307.084751,860466.36838505,1.0014528259634972,16443322368,8146239488,8297082880,50.5,326180864,6534631424,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029308.0861783,860467.369812058,1.0014270080719143,16443322368,8146247680,8297074688,50.5,326180864,6534631424,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029309.087605,860468.371238841,1.001426782924682,16443322368,8146210816,8297111552,50.5,326180864,6534635520,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029310.08899,860469.372623971,1.0013851299881935,16443322368,8145731584,8297590784,50.5,326189056,6534635520,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
1769029311.0904057,860470.374037997,1.0014140260173008,16443322368,8146051072,8297271296,50.5,326189056,6534635520,1654124544,2147479552,880017408,1267462144,41.0,0,0,,,,
