ts_wall_s,ts_mono_s,dt_s,backend,nic,rx_bytes_d,tx_bytes_d,rx_Mbps,tx_Mbps,rx_pkts_d,tx_pkts_d,dropin_d,dropout_d,errin_d,errout_d
1769028544.3088255,859703.592459697,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769028544.3088255,859703.592459697,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769028545.3094988,859704.593130665,1.0006709679728374,psutil,enp0s31f6,10213,8285,0.08164921599106272,0.06623555806187748,46,28,0,0,0,0
1769028545.3094988,859704.593130665,1.0006709679728374,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028546.3107393,859705.594370911,1.0012402459979057,psutil,enp0s31f6,4530,3700,0.036195109160719656,0.02956333419308228,38,25,0,0,0,0
1769028546.3107393,859705.594370911,1.0012402459979057,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028547.3113937,859706.595025462,1.000654550967738,psutil,enp0s31f6,8003,6616,0.06398212044114732,0.05289337858785838,30,23,0,0,0,0
1769028547.3113937,859706.595025462,1.000654550967738,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028548.3127413,859707.596372981,1.001347518991679,psutil,enp0s31f6,2282,1806,0.018231432798059097,0.014428557245089714,22,13,0,0,0,0
1769028548.3127413,859707.596372981,1.001347518991679,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028549.3141804,859708.597811788,1.0014388069976121,psutil,enp0s31f6,834,688,0.006662414072012199,0.0054960921841059876,9,5,0,0,0,0
1769028549.3141804,859708.597811788,1.0014388069976121,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028550.3156164,859709.599247708,1.0014359200140461,psutil,enp0s31f6,2062,1556,0.016472347027225293,0.012430151296975053,17,13,0,0,0,0
1769028550.3156164,859709.599247708,1.0014359200140461,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028551.3170397,859710.600671323,1.0014236150309443,psutil,enp0s31f6,2258,1884,0.018038320375979765,0.015050573776946801,21,16,0,0,0,0
1769028551.3170397,859710.600671323,1.0014236150309443,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028552.3184388,859711.602070261,1.0013989380095154,psutil,enp0s31f6,9494,14714,0.07584589629281023,0.11754755825283437,40,27,0,0,0,0
1769028552.3184388,859711.602070261,1.0013989380095154,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028553.3198519,859712.603483174,1.0014129129704088,psutil,enp0s31f6,7442,10736,0.059451999498791416,0.08576681894907615,45,36,0,0,0,0
1769028553.3198519,859712.603483174,1.0014129129704088,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769028554.3212729,859713.604904408,1.001421233988367,psutil,enp0s31f6,4970,14472,0.039703571934107666,0.11561168873851231,34,33,0,0,0,0
1769028554.3212729,859713.604904408,1.001421233988367,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029107.7911851,860267.074819962,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769029107.7911851,860267.074819962,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769029108.7925968,860268.076228282,1.0014083199203014,psutil,enp0s31f6,9465,9518,0.07561351198482781,0.0760369156969457,40,30,0,0,0,0
1769029108.7925968,860268.076228282,1.0014083199203014,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029109.793552,860269.077183867,1.0009555850410834,psutil,enp0s31f6,2776,2156,0.022186798627122393,0.017231533804061918,26,16,0,0,0,0
1769029109.793552,860269.077183867,1.0009555850410834,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029110.7949796,860270.078611158,1.0014272909611464,psutil,enp0s31f6,1414,1088,0.011295877496151527,0.008691594565638516,14,8,0,0,0,0
1769029110.7949796,860270.078611158,1.0014272909611464,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029111.796623,860271.080254463,1.0016433050623164,psutil,enp0s31f6,1206,892,0.009632171403970756,0.007124292613882184,13,6,0,0,0,0
1769029111.796623,860271.080254463,1.0016433050623164,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029112.797415,860272.081046692,1.00079222896602,psutil,enp0s31f6,7598,4060,0.060735883273993534,0.032454288772362956,31,17,0,0,0,0
1769029112.797415,860272.081046692,1.00079222896602,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029113.7988985,860273.082531892,1.0014852000167593,psutil,enp0s31f6,6246,11716,0.04989389758247432,0.09358900161323554,36,37,0,0,0,0
1769029113.7988985,860273.082531892,1.0014852000167593,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029114.7994924,860274.083123944,1.0005920520052314,psutil,enp0s31f6,8438,15446,0.06746405776931663,0.12349488460593325,36,28,0,0,0,0
1769029114.7994924,860274.083123944,1.0005920520052314,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029115.8009331,860275.084564604,1.0014406599802896,psutil,enp0s31f6,5112,8400,0.040837167527035416,0.06710332692235867,33,27,0,0,0,0
1769029115.8009331,860275.084564604,1.0014406599802896,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029116.8332226,860276.116854295,1.032289691036567,psutil,enp0s31f6,4354,12356,0.033742466191853254,0.09575606620728955,31,29,0,0,0,0
1769029116.8332226,860276.116854295,1.032289691036567,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
